,Year of Breach,Company Name,Total Records,Type of Organization,Type of Breach
1777,2013,Medical Mutual of Ohio,643,MED,DISC
1778,2018,Whole foods market group inc,644,UNKN,UNKN
1779,2017,BJC HealthCare Raising St. Louis,644,MED,DISC
1780,2009,Detroit Department of Health and Wellness Promotion,646,MED,PHYS
1781,2012,Friendping.com,647,BSO,HACK
1782,2016,Hospital fo Special Surgery,647,MED,HACK
1783,2012,Texas-DSM.com,647,BSO,HACK
1784,2017,"Adams Industries, Inc.",647,MED,HACK
1785,2016,"Four Star Drug of Bethany, Inc.",647,MED,PHYS
1786,2016,Hospital for Special Surgery,647,MED,DISC
1787,2013,Kaiser Foundation Health Plan of the Northwest,647,MED,DISC
1788,2016,Lake Pulmonary Critical Care PA,648,MED,PORT
1789,2016,Lake Pulmonary Critical PA,648,MED,PHYS
1790,2016,Lake Pulmonary Critical Care PA,648,MED,PHYS
1791,2015,Massachusetts General Hospital,648,MED,DISC
1792,2016,"Imperial Valley Family Care Medical Group, APC",649,MED,PHYS
1793,2010,VA Eastern Colorado Health Care System,649,MED,PHYS
1794,2011,New Mexico National Guard,650,GOV,STAT
1795,2016,"Mark Anthony Quintero M.D, LLC",650,MED,HACK
1796,2008,Bellin Health,650,MED,PHYS
1797,2011,Medcenter One,650,MED,PORT
1798,2012,Delta Dental of Illinois,650,MED,PHYS
1799,2017,Eclectic Chiropractic Rehab,650,MED,DISC
1800,2017,Hillsborough County Aging Services Department,650,MED,PHYS
1801,2016,Ceaton C Falgiano,650,MED,DISC
1802,2016,"Mark Anthony Quintero, M.D., L.L.C.",650,MED,HACK
1803,2015,Community Health Network,650,MED,PHYS
1804,2011,Medcenter One,650,MED,PHYS
1805,2013,"Colorado Health & Wellness, Inc.",651,MED,INSD
1807,2013,"Colorado Health & Wellness, Inc.",651,MED,DISC
1809,2013,Washington Department of Social and Health Services,652,GOV,PORT
1810,2017,University of Alabama at Birmingham,652,MED,PHYS
1811,2017,Whitmerand company c p as llp,653,UNKN,UNKN
1812,2017,"Kraig R. Pepper, D.O., P.A.",653,MED,DISC
1813,2010,Oconee Physician Practices,653,MED,PHYS
1814,2011,Texas Health Arlington Memorial Hospital,654,MED,DISC
1815,2013,Atlanta Center for Reproductive Medicine,654,MED,DISC
1816,2013,Atlanta Center for Reproductive Medicine,654,MED,DISC
1817,2011,CVS CAREMARK,654,MED,DISC
1818,2011,Texas Health Arlington Memorial Hospital,654,MED,
1819,2011,Lake Woods Nursing and Rehabilitation Center,656,MED,STAT
1820,2018,DePaul University,656,MED,DISC
1821,2011,Lake Woods Nursing & Rehabilitation Center,656,MED,PHYS
1822,2010,Heritage Health Solutions,656,MED,PHYS
1823,2010,"Beauty Dental, Inc.",657,MED,PHYS
1824,2014,Susquehanna Health,657,MED,DISC
1825,2010,"Beauty Dental, Inc.",657,MED,PHYS
1826,2015,"Ocean Acquisitions, Inc.",659,BSO,PORT
1827,2015,"Ocean Acquisitions, Inc. ",659,BSO,PHYS
1828,2018,Kaskaskia college,659,EDU,UNKN
1829,2016,"Ocean Acquisitions, Inc.",659,MED,PORT
1830,2015,"Oceans Acquisition, Inc.",659,MED,PHYS
1831,2018,Eastern Maine Medical Center,660,MED,PHYS
1832,2012,"Goshen Health System, Inc.",660,MED,HACK
1833,2010,"McKesson Information Solutions, LLC",660,MED,
1834,2014,Penn Medicine Rittenhouse,661,MED,PHYS
1835,2017,Multnomah Athletic Club,661,BSO,HACK
1836,2014,University of Pennsylvania Health System,661,MED,PHYS
1837,2015,Summit Financial Group,662,BSF,DISC
1838,2015,Summit Financial Group,662,BSF,DISC
1840,2018,"Sonoma County Indian Health Project, Inc",662,MED,DISC
1841,2016,Questar Assesment,663,EDU,HACK
1842,2017,The Union Labor Life Insurance Company,664,MED,DISC
1843,2017,Rutland Regional Medical Center,665,MED,DISC
1844,2016,"Kinetorehab Physical Therapy, PLLC",665,MED,PHYS
1845,2011,Rancho Los Amigos National Rehabilitation Center,667,MED,PORT
1846,2018,Southwestern Eye Center,667,MED,DISC
1847,2018,Atchison Hospital Association,667,MED,HACK
1848,2011,County of Los Angeles,667,MED,PHYS
1849,2016,Group Health,668,MED,DISC
1850,2016,Group Health,668,MED,DISC
1851,2010,Prince William County Intellectual Disabilities Case Management,669,GOV,PORT
1852,2010,Prince William County Community Services (CS),669,MED,PHYS
1853,2015,Quincy Credit Union,670,BSF,HACK
1854,2011,NYU Langone Medical Center,670,MED,STAT
1855,2018,Make-up Designory,670,EDU,DISC
1856,2018,"Prestera Center for Mental Health Services, Inc.",670,MED,HACK
1857,2017,THE R.O.A.D.S. Foundation Inc. DBA R.O.A.D.S. Community Care Clinic,670,MED,PHYS
1858,2011,NYU School of Medicine Faculty Group Practice,670,MED,PHYS
1859,2018,American institute of aeronautics and astronautics,671,EDU,UNKN
1861,2014,Heard County EMA,672,MED,PHYS
1862,2016,"Summit Medical Group, In. dba St. Elizabeth Physicians",674,MED,DISC
1863,2015,Uber,674,BSO,DISC
1864,2013,Hawaii State Department of Health - Adult Mental Health Division,674,MED,HACK
1865,2016,"Summit Medical Group, Inc. dba St. Elizabeth Physicians ",674,MED,DISC
1866,2012,"Hawaii State Department of Health, Adult Mental Health Division",674,MED,HACK
1867,2012,"Waipahu Aloha Clubhouse, Privacy Manager Breach",674,MED,DISC
1868,2008,Cal Poly Pomona,675,EDU,DISC
1869,2014,Tampa General Hospital,675,MED,DISC
1870,2011,"Healthcare Solutions Team, LLC",675,MED,DISC
1871,2009,Bullitt County Public Schools,676,EDU,DISC
1873,2008,Penn State University,677,EDU,PORT
1874,2016,UHHS Geauga Medical Center,677,MED,HACK
1875,2014,Hanover Foods Corporation,677,MED,HACK
1876,2017,Orange County Global Medical Center,677,MED,DISC
1877,2016,UHHS Geauga Medical Center,677,MED,DISC
1878,2015,North Dallas Urogynecology,678,MED,PORT
1879,2015,"North Dallas Urogynecology, PLLC.",678,MED,PHYS
1880,2013,Baptist Health System,678,MED,DISC
1882,2018,StatCare Group LLC,679,MED,HACK
1883,2013,Alberto Gerardo Vazquez Rivera,679,MED,PHYS
1884,2015,Dr. Arturo Tomas,680,MED,PHYS
1885,2017,"Braun Internal Medicine, P.C.",680,MED,DISC
1886,2015,"Tomas, Arturo",680,MED,PHYS
1887,2014,Midwest Orthopaedic Center SC,680,MED,DISC
1888,2018,GHG Greyhealth group llc,683,MED,UNKN
1889,2014,Baltimore School of Massage Therapy,683,MED,DISC
1890,2012,Landmark Medical Center,683,MED,PORT
1891,2017,TJ Samson Community Hospital,683,MED,DISC
1892,2012,Landmark Medical Center,683,MED,PHYS
1893,2018,Humana Inc,684,MED,PHYS
1894,2018,Optoma technology inc,685,UNKN,UNKN
1895,2017,Memorial Healthcare,685,MED,DISC
1896,2012,"LABusinessConnect.com, AdultStaffing.com",686,BSO,HACK
1897,2015,Aventura Hospital and Medical Center,686,MED,HACK
1898,2015,Aventura Hospital and Medical Center,686,MED,DISC
1899,2013,"County of San Bernardino, Department of Behavioral Health",686,MED,PHYS
1900,2011,West Lake Hospital,686,MED,HACK
1901,2012,Onehitplay.com,687,BSO,HACK
1902,2013,State Farm,687,BSF,INSD
1903,2017,Memphis VA Medical Center,687,MED,DISC
1904,2015,Fidelis Care,687,MED,DISC
1905,2013,Blue Cross and Blue Shield of North Carolina,687,MED,DISC
1906,2011,University of Texas San Antonio (UTSA),688,EDU,DISC
1907,2016,Village of Oak Park,688,MED,HACK
1908,2016,"Village of Oak Park, Illinois",688,MED,DISC
1909,2010,Methodist Hospital,689,MED,PORT
1910,2017,Recovery Institute of the South East P.A.,689,MED,HACK
1911,2010,The Methodist Hospital,689,MED,PHYS
1912,2014,University Hospitals,692,MED,INSD
1913,2010,Johns Hopkins University,692,MED,DISC
1914,2010,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,692,MED,
1915,2011,The Health Plan of San Mateo (HPSM),694,MED,DISC
1916,2010,Texas Children's Hospital and Baylor College of Medicine,694,NGO,PORT
1917,2014,Temple Physicians Inc.,694,MED,PHYS
1918,2011,Health Plan of San Mateo,694,MED,DISC
1919,2010,Texas Children's Hospital,694,MED,PHYS
1920,2018,International management advisors ltd,696,UNKN,UNKN
1921,2016,"Caring for Women, PA",697,MED,DISC
1922,2014,Bon Secours Kentucky,697,MED,DISC
1923,2013,Texas Tech Unversity Health Sciences Center,697,MED,DISC
1924,2018,Day Kimball Healthcare,698,MED,DISC
1925,2012,Lakeview Medical Center,698,MED,PHYS
1926,2011,Azure Acres,699,MED,PORT
1927,2016,Snapchat,700,BSO,HACK
1928,2010,Yuma Proving Ground,700,GOV,HACK
1931,2010,Destination Hotels & Resorts,700,BSO,HACK
1932,2012,California State University San Marcos,700,EDU,HACK
1933,2016,Waiting Room Solutions Limited Liability Limited Partnership,700,MED,DISC
1934,2013,Valley Mental Health,700,MED,STAT
1935,2015,Erpiron ore llc,700,UNKN,UNKN
1936,2008,Brunswick Corp.,700,BSO,STAT
1937,2012,Glenn Research Center - National Aeronautics and Space Administration (NASA),700,GOV,HACK
1938,2012,Commodity Futures Trading Commission (CFTC),700,GOV,HACK
1939,2013,TrendNet,700,BSR,HACK
1940,2013,Texas Tech University Health Sciences Center (TTUHSC),700,MED,DISC
1941,2018,"Cascade Health Services, LLC",700,MED,INSD
1942,2016,Waiting Room Solutions Limited Liability Limited Partnership,700,MED,DISC
1943,2016,Borgess Medical Center d/b/a Borgess Rheumatology,700,MED,DISC
1944,2013,Valley Mental Health,700,MED,PHYS
1945,2011,"Thomas J O'Laughlin, MD",700,MED,DISC
1946,2011,"Andersen Air Force Base, Guam",700,MED,PHYS
1947,2017,Chadron Community Hospital and Health Services,702,MED,DISC
1948,2012,Oregon Health & Science University,702,MED,PHYS
1949,2017,Group Health Incorporated,703,MED,DISC
1950,2017,"Vision Care Specialists, Inc.",703,MED,PHYS
1951,2017,Emblem Health - GHI,703,MED,DISC
1952,2012,Motion Picture Industry Health Plans (MPI),703,MED,PHYS
1953,2011,"Lincoln National Life Insurance Company, Lincoln Life & Annuity Company of New York",705,BSF,DISC
1954,2011,Mutual of Omaha Insurance Co,705,MED,PHYS
1955,2011,"Advanced Diagnostic Imaging, P.C.",705,MED,PHYS
1956,2010,Curian Capital,706,BSF,DISC
1957,2018,University Of Missouri Health,706,MED,DISC
1958,2016,Decatur Health Systems,707,MED,PHYS
1959,2014,"Compassionate Care Hospice of Central Louisiana, LLC",707,MED,PHYS
1960,2012,Karen Kietzman,708,MED,PHYS
1961,2010,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",708,MED,HACK
1962,2010,University of Louisville,709,EDU,DISC
1963,2013,"South Florida State Hospital, GEO Care LLC",710,MED,INSD
1964,2018,"Physician Associates, LLC",710,MED,DISC
1965,2017,Shiel Sexton,710,MED,DISC
1966,2013,"GEO Care, LLC",710,MED,PHYS
1967,2012,St. Joseph's Medical Center,712,MED,PHYS
1968,2012,St. Joseph's Medical Center,712,MED,PHYS
1969,2011,The Mount Sinai Hospital,712,MED,PHYS
1970,2018,Lane County Health & Human Services,715,MED,PHYS
1971,2014,"HealthPartners Administrators, Inc.",715,MED,DISC
1972,2013,Kindred Transitional Care and Rehabilitation - Marl,716,MED,PHYS
1973,2010,Northridge Hospital Medical Center,716,MED,PHYS
1974,2016,Midland Women's Clinic,717,MED,DISC
1975,2016,Midland Women's Clinic,717,MED,DISC
1976,2012,University of Florida,719,EDU,DISC
1977,2016,Target Corporation Health Plan,719,MED,DISC
1978,2017,EMERGENCY COVERAGE CORPORATION,719,MED,PHYS
1979,2016,Target Corporation Health Plan,719,MED,DISC
1981,2018,Nekoosa coated products llc,720,UNKN,UNKN
1982,2011,Mount Sinai Multispecialty Physicians Practice,720,MED,PORT
1983,2017,Kaiser Foundation Health Plan,720,MED,DISC
1984,2014,"The Longstreet Clinic, P. C.",720,MED,PHYS
1985,2012,Sheppard Air Force Base,721,MED,PHYS
1986,2015,"Affinity Health Plan, Inc.",721,MED,DISC
1987,2018,"CHI Health Care, Inc.",722,MED,DISC
1988,2015,UPMC Health Plan,722,MED,DISC
1989,2017,CVS Health,724,MED,PHYS
1990,2017,VA St. Louis Health Care System,724,MED,DISC
1991,2014,Johns Hopkins University (Identity Theft),725,MED,DISC
1992,2017,Blue Cross and Blue Shield of Kansas City,725,MED,DISC
1993,2013,BlueCross BlueShield of Western New York,725,MED,PHYS
1994,2016,Vibrant Body Wellness,726,MED,PORT
1995,2016,Vibrant Body Wellness,726,MED,PHYS
1996,2017,Cook County Health & Hospitals System,727,MED,DISC
1997,2014,"Seven Counties Services, Inc.",727,MED,DISC
1998,2012,"CardioNet, Inc.",728,MED,PORT
1999,2018,Munroand company inc,728,UNKN,UNKN
2000,2018,Scrapbook.com llc,728,UNKN,UNKN
2001,2012,"CardioNet, Inc.",728,MED,PHYS
2002,2016,Akron General Medical Center,730,MED,DISC
2003,2011,"Summit Medical Group, PLLC",731,MED,PHYS
2004,2017,WellSpan Health,732,MED,DISC
2005,2017,WellSpan Health,732,MED,DISC
2006,2018,Total phasse inc,734,UNKN,UNKN
2007,2010,United HealthGroup,735,MED,PHYS
2008,2018,"Walmart, Inc.",735,MED,DISC
2009,2010,UnitedHealth Group health plan single affiliated covered entity,735,MED,PHYS
2011,2016,Fidelis Care,738,MED,DISC
2012,2017,California Correctional Health Care Services,738,MED,DISC
2013,2015,Fidelis Care,738,MED,DISC
2014,2018,ABC Bus Companies inc,741,UNKN,UNKN
2015,2012,IntraCare North Hospital,741,MED,INSD
2016,2018,Walmart Inc.,741,MED,DISC
2017,2017,"Jones Family Practice, P.A.",742,MED,DISC
2018,2017,Orthodontic Specialists of Green Bay,742,MED,HACK
2019,2016,County of Los Angeles,743,MED,PHYS
2020,2016,County of Los Angeles,743,MED,PHYS
2021,2017,Kaleida Health,744,MED,HACK
2022,2017,Kaleida Health,744,MED,HACK
2023,2012,Physician's Automated Laboratory,745,MED,PHYS
2024,2012,Physicians Automated Laboratory,745,MED,PHYS
2025,2012,Physician's Automated Laboratory,745,MED,PHYS
2031,2008,Austin Peay State University,750,EDU,PHYS
2032,2013,Public Health - Seattle and King County,750,MED,PHYS
2033,2017,Sharp Healthcare,750,MED,PORT
2034,2011,"University of Missouri, Coventry Health Care",750,EDU,DISC
2035,2011,"Summit Medical Group, Emory Family Practice, Fountain City Family Physicians, Office of Dr. Kenneth Reese",750,MED,PHYS
2036,2017,"Lake Hospital System, Inc. dba Lake Health",750,MED,PHYS
2037,2014,"Colorado Neurodiagnostics, PLLC",750,MED,PHYS
2038,2013,Seattle - King County Department of Public Health,750,MED,PHYS
2039,2012,IntraCare North Hospital,750,MED,PHYS
2040,2012,"TLC Dental Dania, LLC",750,MED,PHYS
2041,2012,Chicago Muscoskeletal Institute,750,MED,DISC
2043,2012,"North Lake Tahoe Fire Protection District, Privacy Manager Breach",752,MED,PHYS
2044,2012,Central States Southeast and Southwest Areas Health and Welfare Fund,754,NGO,PHYS
2045,2017,Sharp Memorial Hospital,754,MED,PHYS
2046,2012,Central States Southeast and Siouthwest Areas Health & Welfare Fund,754,MED,DISC
2047,2015,"St.Vincent Medical Group, Inc.",756,MED,HACK
2048,2012,Lutheran Community Services Northwest,756,MED,PHYS
2049,2010,Southwestern Indiana Regional Council on Aging (SWIRCA),757,NGO,PORT
2050,2011,Indiana University School of Optometry,757,MED,DISC
2051,2011,Indiana University School of Optometry,757,MED,PHYS
2052,2010,The Southwestern Indiana Regional Council on Aging,757,MED,PHYS
2053,2018,"David S. Ng, O.D.",758,MED,PHYS
2054,2010,Minnesota Department of Labor & Industry,759,GOV,INSD
2056,2017,"Community Family Care Medical Group IPA, Inc.",763,MED,DISC
2057,2011,"Coventry Health Care, Inc.",765,MED,DISC
2058,2009,"University of Colorado, Colorado Springs",766,EDU,PORT
2059,2014,South Suburban HIV/AIDS Regional Clinics,767,MED,
2060,2014,Cook County Health and Hospitals System,767,MED,HACK
2062,2010,"Computer Program and Systems, Inc. (CPSI)",768,MED,
2063,2017,The Lowell General Hospital,769,MED,DISC
2065,2016,"Orchid MPS Holdings, LLC/Welfare Benefit Plan",771,MED,DISC
2066,2010,Memorial Hospital of Gardena,771,MED,PHYS
2067,2012,Foundation Medical Partners,771,MED,UNKN
2068,2016,"Wal-Mart Stores, Inc.",771,MED,DISC
2069,2016,"Orchid MPS Holdings, LLC Welfare Benefit Plan",771,MED,DISC
2070,2012,Foundation Medical Partners,771,MED,DISC
2071,2012,Foundation Medical Partners,771,MED,PHYS
2072,2010,Memorial Hospital of Gardena,771,MED,DISC
2073,2011,Cleveland Clinic Florida,772,MED,PHYS
2074,2016,"Lindsay House Surgery Center, LLC",773,MED,PHYS
2075,2016,"Lindsay House Surgery Center, LLC",773,MED,PHYS
2076,2017,Allina Health System,776,MED,PHYS
2077,2016,Ventura County Health Care Agency,777,MED,DISC
2078,2016,Ventura County Health Care Agency,777,MED,DISC
2079,2013,ABQ HealthPartners,778,MED,PHYS
2080,2018,Wisconsin Department of Health Services,779,MED,PHYS
2081,2015,Health Plan sponsored by Covenant Ministries of Benevolance,782,MED,HACK
2082,2013,"Kmart, Sears",788,BSR,PORT
2083,2013,Zurich american insurance company,789,UNKN,UNKN
2084,2014,"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ",789,MED,PHYS
2085,2018,Charles Cole Memorial Hospital,790,MED,HACK
2086,2016,The Seattle Indian Health Board,793,MED,HACK
2087,2014,"Healthy Connections, Inc",793,MED,PHYS
2088,2016,The University of Texas System Administration,794,MED,DISC
2089,2016,The University of Texas System Administration,794,MED,DISC
2090,2014,"HealthPartners Administrators, Inc.",796,MED,DISC
2091,2008,"Tuolumne General Medical, PHNS (now under ConJoin Group)",798,MED,PORT
2092,2013,San Jose Medical Supply Company,800,MED,INSD
2093,2010,Bay Pines VA Medical Center,800,GOV,PHYS
2094,2011,HarborOne Credit Union,800,BSF,PHYS
2095,2011,The Tech,800,BSO,HACK
2099,2008,University of Akron,800,EDU,PORT
2100,2008,Pfizer Inc,800,BSO,PORT
2101,2008,Stokes County High Schools,800,EDU,STAT
2102,2008,Southeast Missouri State University,800,EDU,INSD
2103,2009,Downeast Energy & Building Supply,800,BSO,HACK
2104,2010,Zarzamora Family Dental Care,800,MED,STAT
2105,2011,"International Union of Operating Engineers Health and Welfare Fund, Zenith Administrators, Inc.",800,NGO,PHYS
2106,2012,Sierra Plastic Surgery,800,MED,HACK
2107,2013,R.T. Jones Capital Equities Management Inc.,800,BSF,HACK
2108,2010,Long Island Consultation Center (LICC),800,MED,PORT
2109,2018,"Diagnostic Radiology & Imaging, LLC",800,MED,HACK
2110,2018,Center for Sports Medicine and Orthopedics,800,MED,DISC
2111,2018,Alicia Ann Oswald,800,MED,DISC
2112,2017,White Blossom Care Center,800,MED,DISC
2113,2016,"Consultants in Neurological Surgery, LLP",800,MED,DISC
2114,2016,"Harrisonburg OB GYN Associates, P.C.",800,MED,PHYS
2115,2016,"Keystone Rural Health Consortia, Inc.",800,MED,PHYS
2116,2015,Metropolitan Atlanta Rapid Transit Authority,800,MED,DISC
2117,2014,Emdeon,800,MED,PHYS
2118,2013,Jesle Kuizon,800,MED,HACK
2119,2012,Sierra Plastic Surgery,800,MED,HACK
2120,2011,Saint Louis University,800,MED,HACK
2121,2010,"Zenith Administrators, Inc.",800,MED,PHYS
2122,2010,zarzamora family dental care,800,MED,PHYS
2123,2010,Long Island Consultation Center,800,MED,PHYS
2124,2010,"Omaha Construction Industry , Privacy Manager Breach",800,MED,PHYS
2125,2014,Group Health Incorporated,802,MED,DISC
2126,2008,Mary Washington Hospital,803,MED,DISC
2127,2015,Blue Cross Blue Shield of North Carolina,807,MED,DISC
2128,2017,MetroPlus Health Plan,808,MED,DISC
2129,2017,MetroPlus Health Plan,808,MED,DISC
2130,2010,Keystone/AmeriHealth Mercy Health Plans,808,MED,PHYS
2131,2011,Massachusetts Technology Collaborative,810,GOV,DISC
2133,2015,Camelback Women's Health,810,MED,DISC
2134,2014,vonica chau DDS PA,810,MED,PHYS
2135,2011,"NOL, LLC d/b/a Premier Radiology",810,MED,PHYS
2136,2016,"Heritage Medical Partners, LLC",812,MED,DISC
2137,2018,Jewish federationof cincinnati,812,UNKN,UNKN
2138,2016,"Heritage Medical Partners, LLC",812,MED,DISC
2139,2010,Advocate Health Care,812,MED,PHYS
2140,2018,Oklahoma Department of Human Services,813,MED,HACK
2141,2011,Capron Rescue Squad District,815,MED,PORT
2142,2011,Capron Rescue Squad District,815,MED,DISC
2143,2018,US Green Fiber llc,816,UNKN,UNKN
2144,2016,Meigs County EMS,817,MED,HACK
2145,2013,Hope Hospice,818,MED,DISC
2146,2013,Hope Hospice,818,MED,
2147,2018,American societyof anesthesiologists,819,UNKN,UNKN
2148,2017,Iowa Department of Human Services,820,MED,HACK
2149,2017,Enterprise Services LLC,822,MED,DISC
2150,2017,"American Urgent Care Center, PSC",822,MED,PHYS
2151,2012,Wolf & Yun,824,MED,PORT
2152,2012,Charlie Norwood VA Medical Center,824,GOV,PORT
2153,2018,Central New York Cardiology,824,MED,PHYS
2154,2016,"Center for Neurosurgical & Spine Disorders, LLC",824,MED,HACK
2155,2012,Wolf & Yun,824,MED,PHYS
2156,2012,Charlie Norwood VA Medical Center,824,MED,PHYS
2157,2008,Texas Department of Public Safety,826,GOV,PHYS
2158,2014,"Emory Dialysis Center, part of Emory Clinic",826,MED,PORT
2159,2015,PIH Health Hospital - Whittier,826,MED,PHYS
2160,2015,University of Colorado Health,827,MED,DISC
2161,2011,Institute of Electrical and Electronics Engineers (IEEE),828,NGO,HACK
2162,2016,"Watsonville Chiropractic, Inc.",829,MED,DISC
2163,2018,Gentle Dentistry Group PC,831,MED,DISC
2164,2013,Jeff Spiegel,832,MED,DISC
2165,2015,University Hospitals,833,MED,DISC
2166,2013,"South Miami Hospital, Baptist Health",834,MED,INSD
2167,2013,South Miami Hospital,834,MED,DISC
2168,2017,Chattanooga clothing company,835,UNKN,UNKN
2169,2015,"BeHealthy Florida, Inc.",835,MED,DISC
2170,2014,NYU Urology Associates,835,MED,DISC
2171,2017,Mount Carmel Health System,836,MED,DISC
2172,2017,CVS Pharmacy,836,MED,PHYS
2173,2017,SSM Health  (Dr. Syed Khader),836,MED,PHYS
2174,2014,Presence St. Joseph's Medical Center,836,MED,
2175,2014,Presence Health,836,MED,PHYS
2176,2010,Northridge Hospital Medical Center,837,MED,PHYS
2177,2010,University of Rochester Medical Center (URMC),837,MED,PORT
2178,2015,Allina Health,838,MED,DISC
2179,2018,Capital District Physicians’ Health Plan,839,MED,DISC
2180,2014,PruittHealth Pharmacy Services,841,MED,PHYS
2181,2014,Memorial Hospital Clinic South,842,MED,HACK
2182,2013,Life Flight (IHC Health Services Inc.),842,MED,DISC
2183,2018,Western Washington Medical Group Inc.,842,MED,PHYS
2184,2017,Memorial Hospital Clinic South,842,MED,HACK
2185,2017,The National Registry of Emergency Medical Technicians,843,MED,HACK
2186,2018,United Methodist Homes,843,MED,DISC
2187,2015,California Physicians' Service d/b/a Blue Shield of California,843,MED,DISC
2188,2014,Santa Fe Medical Group,843,MED,PHYS
2189,2015,California Pacific Medical Center/Sutter Health,844,MED,INSD
2190,2012,Muskogee Regional Medical Center,844,MED,PHYS
2191,2017,STP Nuclear Operating Company,844,BSO,UNKN
2192,2012,Muskogee Regional Medical Center,844,MED,PHYS
2193,2015,Tulare County Health and Human Services,845,GOV,DISC
2194,2010,"Manor Care of Indy (South), LLC",845,MED,PHYS
2195,2015,Tulare County Health & Human Services Agency,845,MED,DISC
2196,2015,California Pacific Medical Center,845,MED,DISC
2197,2011,MacNeal Hospital,845,MED,HACK
2198,2010,"Manor Care Indy (South), LLC.",845,MED,DISC
2199,2018,"VIRTUAL RADIOLOGIC PROFESSIONALS, LLC",846,MED,HACK
2200,2015,Merit Health Northwest Mississippi,846,MED,PHYS
2201,2012,"Abilene Telco Federal Credit Union, Experian",847,BSF,HACK
2202,2008,Dickson County Board of Education,850,EDU,PORT
2203,2016,"Cefalu Eye-Tech of Green, Inc.",850,MED,DISC
2204,2012,Westerville Dental Center,850,MED,PHYS
2205,2011,Union Security Insurance Company,850,MED,DISC
2207,2013,SilverScript Insurance Company,852,MED,DISC
2208,2018,Beachbody llc,854,BSR,HACK
2209,2016,"Athletes' Performance Los Angeles, LLC",854,MED,PHYS
2210,2015,Belgrade Regional Health Center,854,MED,DISC
2211,2018,Premier fixtures llc,855,UNKN,UNKN
2212,2018,Employee benefits corporation inter varsity christian fellowship,855,UNKN,UNKN
2213,2015,"Advanced Radiology Consultants, LLC",855,MED,DISC
2214,2018,Bearing distributors inc,857,UNKN,UNKN
2215,2015,Silverberg Surgical and Medical Group,857,MED,DISC
2216,2013,"IHC Health Services, Inc. dba Intermountain Life Flight",857,MED,DISC
2217,2010,University of Rochester Medical Center and Affiliates,857,MED,PHYS
2218,2009,"David I. Cohen, MD",857,MED,PHYS
2219,2015,California Pacific Medical Center,858,MED,INSD
2220,2014,St. Francis Hospita and Medical Centers,858,MED,PHYS
2221,2014,Saint Francis Hospital and Medical Center,858,MED,PHYS
2222,2017,Rosalind Franklin University of Medicine,859,MED,HACK
2223,2016,"Man Alive, Inc.and Lane Treatment Center, LLC",860,MED,HACK
2224,2017,AeroCare Holdings,860,MED,DISC
2225,2016,"Man Alive, Inc. and Lane Treatment Center, LLC",860,MED,HACK
2226,2014,Kirkbride Center,860,MED,PHYS
2227,2018,Boston Health Care for the Homeless Program,861,MED,DISC
2228,2018,Home for Little Wanderers,861,MED,DISC
2229,2016,Bedford County Board of Education,862,MED,DISC
2230,2018,Contra Costa Health Plan,862,MED,DISC
2231,2015,Cigna-HealthSpring,862,MED,DISC
2232,2014,Iowa Medicaid Enterprise,862,MED,DISC
2233,2011,Diversified Resources Inc.,863,BSO,PORT
2235,2016,"LCS Westminster Partnership IV, LLP d/b/a Sagewood",863,MED,HACK
2236,2011,"Diversified Resources, Inc.",863,MED,PHYS
2237,2011,Portland Center for the Performing Arts (PCPA),864,BSO,HACK
2238,2018,Artesia General Hospital,864,MED,HACK
2239,2015,"Clinical Reference Laboratory, Inc.",864,MED,PHYS
2240,2009,Batteries.com,865,BSR,HACK
2241,2016,Pennsylvania Revenue Department,865,GOV,PORT
2242,2018,Feld entertainment inc,867,UNKN,UNKN
2243,2016,"Aurora Health Care, Inc.",869,MED,DISC
2244,2012,"Concentra Medical Center, Concentra Health",870,MED,PORT
2245,2011,Concentra Health,870,MED,PHYS
2246,2017,EBSCO sign group inc,871,UNKN,UNKN
2247,2017,"Absolute Dental Hygiene, LLC",871,MED,HACK
2248,2014,NYU Hospitals Center,872,MED,PHYS
2249,2015,"Elizabeth Kerner, M.D.",873,MED,DISC
2250,2015,Denton County Health Department,874,MED,DISC
2251,2012,Advanced Clinical Research Institute,875,MED,PHYS
2252,2018,"Kinetics Systems, Inc.",875,BSR,HACK
2253,2012,Advanced Clinical Research Institute,875,MED,PHYS
2254,2017,Premier Medical Associates,876,MED,DISC
2255,2013,Palm Beach County Health Department,877,MED,DISC
2256,2010,Veterans Affairs Chicago HCS,878,GOV,DISC
2257,2011,University of Kentucky HealthCare,878,MED,PORT
2258,2011,University of Kentucky UK HealthCare,878,MED,PHYS
2259,2016,Walgreen Co.,880,MED,PHYS
2260,2011,"Troy Regional Medical Center (TRMC), Southern Records Management Inc.",880,MED,INSD
2261,2012,Memorial Sloan-Kettering Cancer Center,880,MED,DISC
2262,2017,Baptist Health Louisville,880,MED,HACK
2263,2016,Walgreen Co.,880,MED,PHYS
2264,2015,County of Los Angeles,880,MED,PHYS
2265,2015,"CEMEX, Inc.",880,MED,HACK
2266,2015,McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan,880,MED,HACK
