Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude,,,
12/28/2015,Oregon Department of Veterans Affair,Portland,Oregon,DISC,GOV,967,"The Oregon Department of Veterans Affairs notified patients of a data breach when they found discharge and release papers with an unauthorized individual. The information compromised included names, addresses, Social Security numbers and dates of birth.More information: http://ijpr.org/post/personal-info-hundreds-oregon-veterans-compromised#...",Media,,2015,45.523062,-122.676482,,,
3/20/2017,Highland Rivers Community Service Board,,GA,DISC,MED,967,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2017,,,,,
9/24/2010,St. James Hospital and Health Centers,,IL,PHYS,MED,967,"Location of breached information: Improper Disposal
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2010,,,,,
2/16/2010,New York Social Security Administration,New York,New York,PORT,GOV,969,"A computer disc containing detailed personal information about 969 New Yorkers was lost by a Social Security Administration employee traveling to Queens from the Bronx. The disc was lost as the employee was going to the Queens Social Security hearing office, and the information on it included administrative decisions, medical evidence and internal agency documents containing people’s names and Social Security numbers.",Dataloss DB,,2010,40.714269,-74.005973,,,
5/16/2016,"Associates In EyeCare, P.S.C.",,KY,PHYS,MED,971,"Location of breached information: Theft
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
12/23/2015,White Glove Health,Austin,Texas,DISC,MED,975,"As
 reported by Health and Human Services unauthorized access/disclosure 
email. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,,2015,30.259991,-97.79138,,,
4/22/2016,Edwin Shaw Rehabilitation,Akron,Ohio,PHYS,MED,975,"As reported by Health and Human Services loss/other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ",Government Agency,,2016,41.081445,-81.519005,,,
4/22/2016,Edwin Shaw Rehabilitation,,OH,PHYS,MED,975,"Location of breached information: Loss
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
12/23/2015,WhiteGlove Health,,TX,DISC,MED,975,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,,,,,
2/3/2016,"Rite Aid, New York",Poughkeepsie,New York,HACK,MED,976,No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...,Government Agency,,2016,41.686871,-73.91181,,,
2/3/2016,Rite Aid Store 01617,,NY,DISC,MED,976,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
3/15/2018,Island outdoor llc,,,UNKN,UNKN,979,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
9/10/2013,Pierce County Housing Authority,Tacoma,Washington,DISC,BSO,979,A human error resulted in the exposure of client information.  A client found a file with Social Security numbers on the website.  The site was shut down while the file was removed.  It is unclear how long the information was available and the error was caused by a former employee. ,Media,,2013,47.252877,-122.444291,,,
4/9/2014,"Clinical Reference Laboratory, Inc.",,KS,PHYS,MED,979,"Location of breached information: Loss
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2014,,,,,
10/22/2012,"Philip P Corneliuson, DDS, INC.",,CA,PHYS,MED,980,"Location of breached information: Theft
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2012,,,,,
4/27/2016,Family & Children's Services of Mid-Michigan,Midland,Michigan,HACK,MED,981,"As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ",Government Agency,,2016,31.997346,-102.077915,,,
4/27/2016,"Family & Children's Services of Mid Michigan, Inc.",,MI,HACK,MED,981,"Location of breached information: Hacking/IT Incident
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
5/15/2015,The MetroHealth System,,OH,HACK,MED,981,"Location of breached information: Hacking/IT Incident
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,,,,,
7/30/2014,Midwest Urological Group,,IL,PHYS,MED,982,"Location of breached information: Theft
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2014,,,,,
11/24/2015,Pathways Professional Counseling,,AL,PHYS,MED,986,"Location of breached information: Theft
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,,,,,
10/5/2006,Homecoming Financial Network Inc.,Minneapolis,Minnesota,DISC,BSF,988,"On September 9, a web-based tool for mortgage brokers was released that allowed brokers to view all loan applications submitted by all other brokers. The information included names, Social Security numbers and addresses.  The flaw was discovered and fixed the next day.",Dataloss DB,,2006,44.979965,-93.263836,,,
3/3/2007,Metropolitan State College of Denver,Denver,Colorado,PORT,EDU,988,"A faculty member's 
            laptop computer that contained the names and Social Security numbers 
            of former students was stolen from its docking station on campus.",Dataloss DB,,2007,39.739154,-104.984703,,,
5/15/2018,Cable hill partners llc,,,UNKN,UNKN,989,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
1/14/2008,Tennessee Tech University,Cookeville,Tennessee,PORT,EDU,990,"A portable storage drive containing 
            the names and Social Security numbers of 990 students has been lost. 
            A school employee transferred the information onto a portable flash 
            drive when the printer where he was working did not print. The employee 
            noticed the drive was missing the next morning.",Dataloss DB,,2008,36.162839,-85.501642,,,
8/5/2016,Center for Minimally Invasive Bariatric and General Surgery,Chester,Pennsylvania,DISC,MED,992,"As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,,2016,39.856341,-75.367874,,,
10/10/2016,Baxter Healthcare,,IL,DISC,MED,992,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
8/5/2016,Center for Minimmally Invasive Bariatric and General Surgery,,PA,DISC,MED,992,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
3/21/2018,"Mentor ABI, LLC",,MA,PHYS,MED,994,"Location of breached information: Loss
Business associate present: Yes",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2018,,,,,
6/3/2015,"Gallant Risk & Insurance Services, Inc.",,CA,PHYS,MED,995,"Location of breached information: Theft
Business associate present: Yes",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,,,,,
2/12/2016,Blue Cross Blue Shield of South Carolina,Columbia,South Carolina,DISC,MED,998,"""A business associate (BA), Blue Cross\Blue Shield, of the covered entity (CE), South Carolina Public Employee Benefit Authority, incorrectly mailed pre-authorization dental letters to the CE's members due to a computer error.  Duing the mailing sorting process, the names of the envelopes were not matched to the correct addresses.  The breach affected 998 individuals and included financial, demographic, and clinical information.  The BA provided breach notification to HHS, affected individuals, and the media.  Following the breach, the BA revised its procedures for ensuring data integrity and accuracy and enhanced procedures to include a quality control validation step.  The BA trained systems support staff and confirmed that it requires all of its employees, contractors and consultants employed or retained for longer than 45 days to receive HIPAA training.  OCR obtained assurances that the BA implemented the corrective actions listed above.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",California Attorney General,,2016,34.00071,-81.034814,,,
2/12/2016,BlueCross BlueShield of South Carolina,,SC,DISC,MED,998,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: Yes",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,,,,,
9/13/2013,Dreyer Medical Clinic,,IL,HACK,MED,998,"Location of breached information: Hacking/IT Incident
Business associate present: Yes",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2013,,,,,
11/17/2014,Brigham and Women's Hospital,,MA,PHYS,MED,999,"Location of breached information: Theft
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2014,,,,,
4/9/2012,"Pono Products, Inc. (Reuseit.com)",Chicago,Illinois,HACK,BSR,1000,"A hacker or hackers were able to intercept customer information online between August 22 and September 28 of 2011.  Customers who were affected may have had their login, password, and credit card information obtained.  Anyone who used the same login and password combination for reuseit.com and other websites should change their password.  ",California Attorney General,,2012,41.878114,-87.629798,,,
4/13/2010,Atlanta Firefighters,Atlanta,Georgia,DISC,GOV,1000,"While attending a seminar on security, Atlanta police officers were astonished to discover that personal information from city firefighters was being used as an example of what could be found on the Internet.  The information included Social Security numbers, names and addresses.  It is believed that the information was hacked and/or uploaded to a file sharing website from a city employee's off-site laptop.",Databreaches.net,,2010,33.748995,-84.387982,,,
1/8/2011,Washington State Employment Security Division,Olympia,Washington,PHYS,GOV,1000,Authorities discovered that names and Social Security numbers of hundreds of Employment Security Division state employees were in the possession of a man who intended to misuse and profit from the information. The man was arrested and held on 50 counts of identity theft.  It appears that the employee information was stolen from a car parked on the state Capital campus sometime in 2009.  Authorities are still notifying those who were affected by incident.,Databreaches.net,,2011,47.037874,-122.900695,,,
1/10/2011,Entertainment Software Rating Board (ESRB),New York,New York,DISC,BSO,1000,"People who contacted ESRB to complain about a Blizzard Entertainment change in privacy were sent a response that included the emails of other people who had contacted ESRB with similar concerns.  Blizzard had proposed implementing Real ID (required usage of real first and last name) for participation in forums, but abandoned it after a backlash.",Databreaches.net,,2011,40.714353,-74.005973,,,
9/16/2011,Guilford County Tax Department,Greensboro,North Carolina,DISC,GOV,1000,"On September 9, Guilford County became aware of the accidental placement of Tax Department files online.  The names, bank account numbers, Social Security numbers, and addresses of citizens who had garnishments from the Tax Department were available online.  The mistake affected people who submitted checks to the Tax Department between July 2010 and December 2010.  The information was available as early as December of 2010 and taken down on September 9 of 2011.UPDATE (9/16/2011): At least 1,000 people were affected by the breach.",Databreaches.net,,2011,36.072635,-79.791975,,,
3/7/2012,Gila County Health and Emergency Services (Payson WIC Office),Payson,Arizona,PHYS,GOV,1000,"A woman found thousands of applications for Women, infants, and Children (WIC) support in a dumpster.  Around 1,000 documents were originally reported in the dumpster.  Additional documents were discovered when a local news team joined the woman at the dumpster a few days later. The applications included copies of drivers licenses, Social Security numbers, medical information, and many other types of sensitive information.  An employee of the state agency said that the forms would normally be properly shredded, but were thrown out in a hurry without being checked.",Databreaches.net,,2012,34.230868,-111.325136,,,
3/17/2012,Georgia Obstetrical and Gynecological Society,Suwanee,Georgia,PORT,MED,1000,Two laptops with member information were stolen during an office burglary. Financial and other administrative information were also on the laptops. The laptops did not contain any patient information. It is unclear if the theft of the equipment was politically motivated.UPDATE (3/26/2012): The breach appears to have been politically motivated.  Two other OB-GYNs had laptops stolen from their offices after speaking out against a controversial Georgia bill.,Databreaches.net,,2012,34.05149,-84.0713,,,
3/21/2012,Wayne County,Detroit,Michigan,DISC,GOV,1000,"An employee of Wayne County's personnel department accidentally sent an email with a sensitive attachment.  People who were members of AFSCME Locals 25, 409, 1659, and 3309 received an email about health insurance with employee names, ID numbers, Social Security numbers, dates of birth, addresses, and other information available in an attached file.  The mistake was noticed immediately and a follow-up email was sent with instructions to destroy the previous email. UPDATE (4/16/2012): About 1,300 union members received the email and it contained the information of over 1,000 employees.",Databreaches.net,,2012,42.331427,-83.045754,,,
8/27/2012,University of Rhode Island,Kingston,Rhode Island,DISC,EDU,1000,"Students and faculty who were associated with the University of Rhode island after April of 2007 may have had their personal information exposed.  The information was placed on a server that was not set-up or intended to be used for storing sensitive information.  The information was on the College of Business Administration's computer server and included names, Social Security numbers, dates of birth, hire year, rank, and limited compensation information.  The information was discovered to be publicly accessible on July 31. It is unclear how long the information was available, but unauthorized access had occurred sometime while the information was exposed.",Databreaches.net,,2012,41.480379,-71.52256,,,
12/8/2005,San Antonio Independent School District,San Antonio,Texas,PORT,EDU,1000,"A laptop with personal information of more than a thousand teachers was stolen from an employee's unlocked car.  The information included names, Social Security numbers and dates of birth. ",Dataloss DB,,2005,29.424122,-98.493628,,,
4/7/2006,DiscountDomainRegistry.com,Brooklyn,New York,DISC,BSO,1000,"Domain name registrants' personal information including user names, passwords and 
            credit card numbers was accessible online.  The information may have been exposed online for four months.",Dataloss DB,,2006,40.650104,-73.949582,,,
4/13/2006,Fifth Third Bank,Evansville,Indiana,INSD,BSF,1000,"An employee was able to gain access to around 1,000 customer accounts.  He used this information to stalk and harass female news celebrities.  He now faces two felony counts of attempting to defraud using personal information and two misdemeanor counts of stalking and repeated harassment.",Dataloss DB,,2006,37.974764,-87.555848,,,
6/27/2006,Government Accountability Office (GAO),Washington,District Of Columbia,DISC,GOV,1000,"Data from audit reports 
            on Defense Department travel vouchers from the 1970s were inadvertently 
            posted online and included some service members' names, Social Security 
            numbers and addresses. The agency has subsequently removed the information.",Dataloss DB,,2006,38.895112,-77.036366,,,
11/3/2006,West Shore Bank,Ludington,Michigan,CARD,BSF,1000,"Customers' debit cards and 
            possibly credit cards were compromised from a security break last 
            summer at a common MasterCard point-of-purchase provider.",Dataloss DB,,2006,43.955283,-86.452583,,,
11/10/2006,"KSL Services, Inc.",Los Alamos,New Mexico,PORT,BSO,1000,"A disk containing the personal 
            information of approximately 1,000 KSL employees is missing. KSL is 
            a contractor for Los Alamos National Laboratory.",Dataloss DB,,2006,35.88808,-106.306972,,,
2/8/2007,Piper Jaffrey,Minneapolis,Minnesota,DISC,BSF,1000,"W-2s sent to current 
              and former employees in January included employees' Social Security 
              numbers on the outside of the envelope. Though the numbers were 
              not identified as Social Security numbers, they followed the standard 
              XXX-XX-XXXX format. Executives indicated the mishap was an error 
              by a third-party vendor.",Dataloss DB,,2007,44.979965,-93.263836,,,
4/15/2007,CVS Pharmacy,Liberty,Texas,PHYS,MED,1000,"The Attorney General of Texas filed a complaint against CVS Pharmacy for illegally disposing of personal information including active debit and credit card numbers, complete with expiration dates and medical prescription forms with customer's name, address, date of birth, issuing physician and the types of medication prescribed. The information was found in a dumpster behind a store that apparently was being vacated.  ",Dataloss DB,,2007,30.057993,-94.795478,,,
5/6/2008,International Visa Service,Atlanta,Georgia,INSD,BSO,1000,"An employee has been arrested 
            and charged with stealing the personal information of people who were 
            applying for a passport and sold the identities on the black market.",Dataloss DB,,2008,33.748995,-84.387982,,,
6/2/2008,Walter Reed Army Medical Center,Washington,District Of Columbia,UNKN,MED,1000,"Sensitive information on patients 
          at Walter Reed Army Medical Center and other military hospitals was 
          exposed in a security breach. The computer file was found on a ""non-government, non-secure computer network.""  The data file did 
          not include information such as medical records, or the diagnosis or 
          prognosis for patients, but may have included names, Social Security 
          numbers, birth dates as well as other information.",Dataloss DB,,2008,38.895112,-77.036366,,,
10/13/2008,Southwest Mississippi Community College,Summitt,Mississippi,DISC,EDU,1000,"Former Southwest Mississippi Community 
            College students had some of their personal information made available 
            temporarily on the Internet. The breach involved names, addresses, 
            and in some cases, Social Security numbers.",Dataloss DB,,2008,31.283787,-90.468432,,,
11/11/2008,Sinclair Community College,Dayton,Ohio,DISC,EDU,1000,"The names and Social Security 
            numbers of almost 1,000 employees were inadvertently left open to 
            public view on the Internet for about a year. A spreadsheet with information 
            on people who worked at the school in 2000 and 2001 was placed in 
            a computer folder by an employee. The employee didn't realize the 
            folder could be viewed on the Internet.",Dataloss DB,,2008,39.758948,-84.191607,,,
12/11/2008,"Hewlett-Packard, Symantec",Houston,Texas,PORT,BSR,1000,"Several thousand employee records 
          were contained on a laptop that was stolen from an HP employee based 
          in the Houston area. At first HP thought that there was no sensitive 
          information on the laptop, but after looking into back-up files, the 
          company realized that it contained names and Social Security numbers 
          of current and former employees.",Dataloss DB,,2008,29.763284,-95.363272,,,
12/23/2008,Cedars-Sinai Medical Center,Los Angeles,California,INSD,MED,1000,"A former billing department employee 
          is in custody on $895,000 bail for allegedly stealing the personal information 
          of 1,000 hospital patients and using it to bilk insurance companies.",Dataloss DB,,2008,34.052234,-118.243685,,,
2/19/2009,"Northeast Orthopaedics, MRecord",Raleigh,North Carolina,DISC,MED,1000,"Records of more than 1,000 patient 
            visits to Northeast Orthopaedics, a large Albany surgical practice, 
            have been posted on the Internet. The records appeared on the Web 
            site visvabpo.com, which seems to be a defunct outsourcing company in India called 
            Visva BPO. Those records include patient names, birth dates and Social 
            Security numbers.",Dataloss DB,,2009,35.772096,-78.638615,,,
3/17/2009,Penn State Office of Physical Plant,University Park,Pennsylvania,HACK,EDU,1000,"The Social Security numbers of 
          employees working for the Penn State Office of Physical Plant in 2000 
          may have been stolen. A virus infiltrated an administrative computer 
          that contained more than 1,000 Social Security numbers of OPP employees.",Dataloss DB,,2009,40.802006,-77.85639,,,
4/1/2009,Palo Alto Medical Foundation,Palo Alto,California,PORT,MED,1000,"A laptop computer recently stolen 
          at the Palo Alto Medical Foundation's Santa Cruz office contained personal 
          and medical information of 1,000 Santa Cruz County patients.",Dataloss DB,,2009,37.441883,-122.14302,,,
5/5/2009,East Burke Christian Ministries,Hildebran,North Carolina,PORT,NGO,1000,"A thief broke into a charity 
          in Burke County and stole a laptop containing more than 1,000 Social 
          Security numbers of individuals seeking help.",Dataloss DB,,2009,35.714021,-81.422033,,,
8/4/2009,New Hampshire Department of Corrections,Laconia,New Hampshire,PHYS,GOV,1000,"A 64-page list containing the 
            names and Social Security numbers of about 1,000 employees of the 
            state Department of Corrections ended up under the mattress of a minimum 
            security prisoner. The prison contracts with vendors to shred documents 
            and investigators are trying to find out why documents were not destroyed.",Dataloss DB,,2009,43.527855,-71.470351,,,
4/18/2012,"Knoxville Medical Clinic, DRD Management",Knoxville,Tennessee,PHYS,MED,1000,"A former employee took paper documents with patient information without permission.  It is unclear if the former employee meant to use the information for fraud purposes.  Patient names, dates of clinic visits, dates for scheduled opiate addiction dosages, and the dosage amounts were in the paper documents.  The documents were recovered.",Dataloss DB,,2012,35.960638,-83.920739,,,
11/4/2012,"Symantec, ImageShack",Mountain View,California,HACK,BSO,1000,"A hacking spree resulted in unauthorized access to the ImageShack server and a Symantec portal. Names, phone numbers, emails, domains, passwords, usernames, and other information were exposed.",Dataloss DB,,2012,37.386052,-122.083851,,,
4/12/2016,United Community & Famiy Services,Norwich,Connecticut,HACK,MED,1000,"As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ",Government Agency,,2016,41.524265,-72.075911,,,
5/4/2016,Florida Medical Clinic,Land O Lakes,Florida,DISC,MED,1000,"As reported by Health and Human Services unauthorized access/disclosure electronic medical records. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ",Government Agency,,2016,28.186912,-82.423224,,,
9/9/2016,Martin Army Community Hospital,Fort Benning,Georgia,PHYS,MED,1000,"As reported by Health and Human Services unauthorized theft/paper films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...",Government Agency,,2016,32.374819,-84.933569,,,
9/21/2016,McLaren Greater Lansing Cardiovascular Group,Lansing,Michigan,DISC,MED,1000,"                                        As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...          ",Government Agency,,2016,42.732535,-84.555535,,,
9/13/2010,SunBridge Healthcare Corporation,Albuquerque,New Mexico,PORT,MED,1000,"A BlackBerry mobile device was stolen from an employee's desk.  The device had unencrypted current and former resident and patient information from eight different nursing and rehabilitation facilities in Georgia.  No Social Security numbers or financial information were stored on the device, but it did contain patient names, medical record numbers, medical information, dates of birth, and dates of service.",HHS via PHIPrivacy.net,,2010,35.084491,-106.651137,,,
12/22/2010,Hospital Auxilio Mutuo,Hato Ray,Puerto Rico,HACK,MED,1000,"The Hospital experienced a breach of one or more computers on or around November 19.  The exact nature of the breach was not reported and could have been theft, unauthorized access, hacking, or an IT incident.",HHS via PHIPrivacy.net,,2010,18.429446,-66.060239,,,
1/6/2011,Private Dental Practice,Germantown,Maryland,HACK,MED,1000,"The office discovered a hacking incident after the computer system shut down on October 14.  A hacker accessed the computer system and server. Patient names, Social Security numbers, addresses, dates of birth, dental care and X-ray records, dental insurance member numbers and health insurance member numbers may have been exposed.",HHS via PHIPrivacy.net,,2011,39.173162,-77.27165,,,
2/6/2006,Prudential Financial Inc.,Newark,New Jersey,DISC,BSF,1000,"A health insurer claims data were erroneously faxed to a company in Canada by doctors and clinics across the U.S.. 
            Data included the patients' Social Security numbers, bank account details 
            and health care information.",Media,,2006,40.735657,-74.172367,,,
8/28/2008,The Washington Trust Co.,Westerly,Rhode Island,HACK,BSF,1000,"The Washington Trust Co. has notified 
            about 1,000 customers that their debit and credit card accounts might 
            have been compromised in a suspected security breach at an unidentified 
            MasterCard merchant. The company is investigating a suspected security 
            breach of a U.S. e-commerce-based merchant's Web server which contained 
            debit card data.",Media,,2008,41.3776,-71.827291,,,
6/16/2009,Redondo Beach Arco Gas Station,Redondo Beach,California,INSD,BSR,1000,"An organized-crime ring that police 
            believe is Russian or Armenian targeted a high-volume Redondo Beach 
            Arco gas station, assigned a low-level soldier to infiltrate it and 
            waited eight months while he worked himself into a position where 
            he could implant a tiny, high-tech skimmer to steal 
            customers' credit-card information. Armed with a fresh batch 
            of personal-information numbers, the gang began draining thousands 
            of Southern California bank accounts soon after Erick, 
            the model employee who was by then entrusted with opening the station 
            every day at 5 a.m., vanished in late April along with 1,500 packs 
            of cigarettes, $1,000, a laptop, his employee application form  -  
            and the two digital video recorders used for surveillance. The skimmer 
            scam left a string of more than 1,000 victims, stretching from Santa 
            Barbara to Newport Beach.",Media,,2009,33.849182,-118.388408,,,
3/2/2012,Blue Cross Blue Shield (BCBS) of North Carolina,Durham,North Carolina,DISC,MED,1000,"An employee of BCBS North Carolina accidentally sent an email that revealed the email addresses of all customers who received the email.  Customers received the email as notification of changes to their billing cycle on Wednesday, February 29.  The employee error meant that anyone who received the email could then send unwanted messages referencing BCBS or unrelated content to other customers who received the email.",Media,,2012,35.994033,-78.898619,,,
11/8/2016,Pace University,New York,New York,HACK,EDU,1000,"""An Arizona man was arrested last Wednesday after hacking into more than 1,000 student email accounts here at Pace, just in time for cybersecurity awareness month.Jonathan Powell broke into 1,035 student emails and social media accounts between October 2015 and September 2016 in search of lewd and “embarrassing” content, using keywords such as “naked” and “horny,” according to the U.S. Attorney for the Southern District of New York and Executive Director of Media Relations, Scott Trent.According to a statement provided by the university:“In response to a potential information security breach, Pace launched an internal investigation and immediately brought in the cybersecurity forensics team it has on-call under an existing agreement. When it was determined the incident had originated outside the University and the perpetrator had also possibly compromised external, non-Pace social media accounts, the University contacted the Federal Bureau of Investigation and US Attorney’s Office. As a result of the efforts of the FBI and the US Attorney’s Office, the individual responsible has been identified and arrested.”More Information: http://pacechronicle.com/news/2016/11/08/man-arrested-for-hacking-more-t...",Media,,2016,40.712784,-74.005941,,,
1/8/2018,Penn Medicine,King of Prussia,Pennsylvania,PORT,MED,1000,"About 1,000 patients at Penn Medicine are receiving letters saying a computer with some of their personal information on it was stolen. A laptop containing patient files was reported stolen from a car at the King of Prussia Mall parking lot on Nov. 30, according to a spokesperson at the University of Pennsylvania Health System. So far,  there is no indication the computer has been turned on or the patient information accessed, they stated.Patient names, birth dates, medical records, account numbers, and some other demographic and medical information were on the computer.  There were no Social Security numbers, credit card or bank account information, patient addresses or telephone numbers stolen, according to Penn Medicine. Patients with questions can contact the Penn Medicine Incident Response Line at 1-833-214-8740.",Media,http://www.philly.com/philly/health/penn-medicine-patient-information-stolen-identity-theft-hipaa-20180102.html,2017,40.101286,-75.383553,,,
5/26/2010,Children's Hospital and Research Center at Oakland,Oakland,California,DISC,MED,1000,"Approximately 1,000 patients received information about themselves and other patients in the mail. According to the Hospital's website ""equipment designed to generate, fold and stuff documents for mailing was programmed to fold and stuff two pages rather than one. This programming error caused guarantor billing statements prepared on May 25 and May 26 to be collated and mailed incorrectly.""",PHIPrivacy.net,,2010,37.804372,-122.270803,,,
8/19/2010,Yale School of Medicine,New Haven,Connecticut,PORT,MED,1000,A stolen laptop resulted in the exposure of patient clinical health information.,PHIPrivacy.net,,2010,41.308153,-72.928158,,,
12/27/2010,"Riverside Mercy Hospital, Mercy Health Partners",Toledo,Ohio,PHYS,MED,1000,Patient and employee records were left in the Hospital after the facility was sold to Toledo Public Schools in 2003.  The Hospital closed in 2002 and was sold in 2003.  Records were left unsecured in the facility from 2003 until the discovery in November of 2010.,PHIPrivacy.net,,2010,41.663938,-83.555212,,,
3/27/2012,Affordable Medical and Surgical Services,Overland Park,Kansas,PHYS,MED,1000,"A woman found over 1,000 detailed abortion records in a dumpster when she went to dump her recycling near a local elementary school.  The records included names, Social Security numbers, birth dates, telephone numbers, emergency family contacts, patient health histories, number of children, term of pregnancies, number of previous abortions, reasons for failing to go through with the abortion procedures, and fees paid for the procedures. Many of the records were from 2001 and 2002.  The physician who ran the practice admitted to dumping the records without attempting to properly destroy them.  His clinic had closed in 2005 after he lost his medical license.  The county district attorney commented that he will most likely not pursue a criminal case against the former physician.",PHIPrivacy.net,,2012,38.982228,-94.670792,,,
9/27/2012,"Medical Solutions Management, Inc.",Hicksville,New York,PHYS,MED,1000,"The owner of Medical Solutions Management, Inc. was convicted of wrongful disclosure of private patient information and Medicare fraud. The owner stole private patient information from nursing homes in Long Island and used the information to submit fraudulent claims to Medicare over the course of four and a half years.  Over 1,000 people were affected. She faces a sentence of up to 10 years per count and could be fined up to $250,000 for each conviction count.UPDATE (04/11/2013): The dishonest owner was sentenced to 12 years in prison. A total of 1.3 million dollars was seized from the owner and she was ordered to forfeit it at her sentencing. She had submitted 10 million dollars in fraudulent Medicare billings.",PHIPrivacy.net,,2012,40.768433,-73.525125,,,
6/21/2013,North Lincoln Community Health Center Clinic,Lincoln City,Oregon,PHYS,MED,1000,"An April 17 burglary resulted in the possible exposure of patient information.  Someone entered locked rooms and cabinets in order to take money.  No records or electronic devices were taken; however the room where client medical charts were stored was accessed.  Social Security numbers, health information, and other personal information may have been exposed.",PHIPrivacy.net,,2013,44.958164,-124.017891,,,
12/12/2018,"Alpha-Omega Endocrinology, Diabetes and Metabolism Center, PC",,AZ,DISC,MED,1000,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2018,,,,,
2/21/2018,Missouri Dept. of Mental Health,,MO,DISC,MED,1000,"Location of breached information: Unauthorized Access/Disclosure
Business associate present: No",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2018,,,,,
